[GIN] 2026/06/19 - 07:00:54 | 200 |      6.7176ms |       127.0.0.1 | GET      "/api/tags"
[GIN] 2026/06/19 - 07:01:09 | 200 |       503.7µs |       127.0.0.1 | GET      "/api/tags"
[GIN] 2026/06/19 - 07:01:15 | 200 |       504.5µs |       127.0.0.1 | GET      "/api/tags"
[GIN] 2026/06/19 - 07:09:47 | 200 |    926.8797ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:09:48 | 200 |     16.5124ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:10:24 | 200 |     36.4061ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:10:39 | 200 |     19.0232ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:10:39 | 200 |     23.6735ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:10:39 | 200 |     22.7518ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:10:39 | 200 |     15.0917ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:10:39 | 200 |      15.174ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:10:39 | 200 |     24.5791ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:10:39 | 200 |      24.179ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:10:39 | 200 |     15.1139ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:10:39 | 200 |     30.0333ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:10:39 | 200 |     14.5089ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:10:39 | 200 |     14.5558ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:10:39 | 200 |      23.362ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:10:39 | 200 |     14.5155ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:10:39 | 200 |     25.2689ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:10:39 | 200 |      24.283ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:10:39 | 200 |     15.1145ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:10:40 | 200 |     15.0989ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:10:40 | 200 |     24.8264ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:10:40 | 200 |     14.0339ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:10:40 | 200 |     18.7826ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:10:40 | 200 |     25.9047ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:10:40 | 200 |     15.7356ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:10:40 | 200 |     25.3777ms |       127.0.0.1 | POST     "/api/embed"
